time,value
0.00517375,1
0.0051738,1
0.00517385,1
0.0051739,1
0.00517395,0
0.005174,0
0.00517405,0
0.0051741,0
0.00517415,0
0.0051742,0
0.00517425,0
0.0051743,0
0.00517435,1
0.0051744,1
0.00517445,1
0.0051745,1
0.00517455,1
0.0051746,1
0.00517465,1
0.0051747,1
0.00517475,0
0.0051748,0
0.00517485,0
0.0051749,0
0.00517495,0
0.005175,0
0.00517505,0
0.0051751,0
0.00517515,1
0.0051752,1
0.00517525,1
0.0051753,1
0.00517535,1
0.0051754,1
0.00517545,1
0.0051755,1
0.00517555,1
0.0051756,1
0.00517565,1
0.0051757,1
0.00517575,1
0.0051758,1
0.00517585,1
0.0051759,1
0.00517595,0
0.005176,0
0.00517605,0
0.0051761,0
0.00517615,0
0.0051762,0
0.00517625,0
0.0051763,0
0.00517635,0
0.0051764,0
0.00517645,0
0.0051765,0
0.00517655,0
0.0051766,0
0.00517665,0
0.0051767,0
0.00517675,1
0.0051768,1
0.00517685,1
0.0051769,1
0.00517695,1
0.005177,1
0.00517705,1
0.0051771,1
0.00517715,0
0.0051772,0
0.00517725,0
0.0051773,0
0.00517735,0
0.0051774,0
0.00517745,0
0.0051775,0
0.00517755,1
0.0051776,1
0.00517765,1
0.0051777,1
0.00517775,1
0.0051778,1
0.00517785,1
0.0051779,1
0.00517795,0
0.005178,0
0.00517805,0
0.0051781,0
0.00517815,0
0.0051782,0
0.00517825,0
0.0051783,0
0.00517835,1
0.0051784,1
0.00517845,1
0.0051785,1
0.00517855,1
0.0051786,1
0.00517865,1
0.0051787,1
0.00517875,0
0.0051788,0
0.00517885,0
0.0051789,0
0.00517895,0
0.005179,0
0.00517905,0
0.0051791,0
0.00517915,1
0.0051792,1
0.00517925,1
0.0051793,1
0.00517935,1
0.0051794,1
0.00517945,1
0.0051795,1
0.00517955,0
0.0051796,0
0.00517965,0
0.0051797,0
0.00517975,0
0.0051798,0
0.00517985,0
0.0051799,0
0.00517995,1
0.00518,1
0.00518005,1
0.0051801,1
0.00518015,1
0.0051802,1
0.00518025,1
0.0051803,1
0.00518035,0
0.0051804,0
0.00518045,0
0.0051805,0
0.00518055,0
0.0051806,0
0.00518065,0
0.0051807,0
0.00518075,0
0.0051808,0
0.00518085,0
0.0051809,0
0.00518095,0
0.005181,0
0.00518105,0
0.0051811,0
0.00518115,1
0.0051812,1
0.00518125,1
0.0051813,1
0.00518135,1
0.0051814,1
0.00518145,1
0.0051815,1
0.00518155,1
0.0051816,1
0.00518165,1
0.0051817,1
0.00518175,1
0.0051818,1
0.00518185,1
0.0051819,1
0.00518195,0
0.005182,0
0.00518205,0
0.0051821,0
0.00518215,0
0.0051822,0
0.00518225,0
0.0051823,0
0.00518235,0
0.0051824,0
0.00518245,0
0.0051825,0
0.00518255,0
0.0051826,0
0.00518265,0
0.0051827,0
0.00518275,1
0.0051828,1
0.00518285,1
0.0051829,1
0.00518295,1
